epoch,acc,loss,val_acc,val_loss
0,0.780948280264,0.701031725236,0.285,3.42910739231
1,0.818883121069,0.579554138581,0.2303,3.73554051046
2,0.846691819084,0.489201951471,0.2192,5.05107632313
3,0.86877759502,0.417990806904,0.2855,3.49749988184
4,0.885396448239,0.364668269354,0.2406,3.98078742371
5,0.897269662083,0.322982531726,0.3006,4.12222542019
6,0.910581728357,0.284371479323,0.3052,4.23233204536
7,0.918696623009,0.255378480945,0.2553,4.07342099991
8,0.925118868591,0.23344130798,0.3098,4.57442052937
9,0.932532269097,0.210863532286,0.2897,4.31372759218
