epoch,acc,loss,val_acc,val_loss
0,0.110737848064,2.87024686007,0.100034916201,3.2592171707
1,0.264957783385,2.35268088165,0.190392706872,2.70248260103
2,0.433484569099,1.8047802685,0.150420757363,2.69868500637
3,0.566738624236,1.38574934759,0.214586255259,2.99459529826
4,0.658930997671,1.08341802145,0.205469845722,2.84889649158
5,0.725300854037,0.868684308997,0.260343618513,2.86846047013
6,0.770847482294,0.71631141165,0.305399719495,3.25120231664
7,0.805706521739,0.608395548656,0.240398044693,3.63290497228
8,0.828889266304,0.529101378497,0.259951117318,3.58520360183
9,0.848930027174,0.46294718071,0.241096368715,3.69574320899
