epoch,acc,loss,val_acc,val_loss
0,0.172650526472,2.6826233739,0.135,3.05147122383
1,0.380270244152,2.02838499737,0.1298,2.73573752136
2,0.545473845214,1.48979724084,0.1742,2.88912473373
3,0.657755567653,1.1191196854,0.1602,2.95459297752
4,0.733489421902,0.866920825617,0.2997,2.70787076073
5,0.789347921458,0.684029136495,0.2748,3.18226260204
6,0.828532094996,0.553360903707,0.295,3.39804960232
7,0.857239907191,0.46017152411,0.34,3.17036353331
8,0.878978458411,0.389563922666,0.2945,4.09783405952
9,0.8960719141,0.333159498899,0.2799,3.5963022727
