epoch,acc,loss,val_acc,val_loss
0,0.708486973236,0.846638664461,0.335,3.0271824873
1,0.715170297683,0.827643867655,0.3152,3.61737325163
2,0.719872137202,0.81013493262,0.3159,3.68449433479
3,0.72680243594,0.793803431328,0.3201,3.19534374485
4,0.731912364385,0.779839736424,0.3555,3.2237741683
5,0.738173790992,0.762548901312,0.3501,3.07149452057
6,0.747216292555,0.731688183397,0.3553,3.39850849457
7,0.751085743707,0.722251048727,0.3499,3.281749647
8,0.754360536061,0.711040722204,0.32,3.51238511677
9,0.758552504238,0.699673214835,0.3457,3.31830843253
10,0.764045898224,0.684704705164,0.3351,3.58059735184
11,0.766429334172,0.675302751351,0.3596,3.46245603623
12,0.768651737479,0.669782370965,0.3597,3.64266402092
13,0.772196885474,0.660282401633,0.3698,3.71192193699
14,0.77770162101,0.645404642253,0.3699,3.37907942805
15,0.779335064076,0.643795141572,0.3457,3.52139353042
16,0.780607046183,0.635996421604,0.36,3.59731659791
17,0.780924021512,0.633090768959,0.3502,3.84373103886
18,0.78498738577,0.623331573461,0.3652,3.56424045849
19,0.786460355575,0.616890585933,0.3596,3.65700572062
20,0.788450342394,0.611152261522,0.3501,3.6388900775
21,0.791118740628,0.607151038505,0.3649,3.74834500084
22,0.793568968287,0.602632220368,0.3654,3.64903034062
23,0.794023822581,0.597464886878,0.355,3.63528982115
24,0.79347219566,0.597033262408,0.3599,3.65776719227
25,0.795073019559,0.593269341104,0.355,3.78191930656
26,0.797451232887,0.588404746242,0.3752,3.57052256098
27,0.798263063792,0.584982403651,0.3742,3.67724967852
28,0.797342051975,0.58724759806,0.3757,3.68206264811
29,0.800422105115,0.579845689746,0.3756,3.74345978656
