epoch,acc,loss,val_acc,val_loss
0,0.8695166925465838,0.44954641030975306,0.46037011173184356,2.518129447651975
1,0.9857257203842049,0.047314584142745066,0.2988826815642458,4.220396000080268
2,0.9847268051242236,0.04702928548999666,0.3791899441340782,4.383735280796136
3,0.9922724184782609,0.02487090280740727,0.48463687150837986,3.447273508463492
4,0.9921511063664596,0.022445200163209004,0.43557960893854747,3.4526404090766802
5,0.9942150965363346,0.01770529966914638,0.48533519553072624,3.979064119344983
6,0.9918356948757764,0.025067768399024016,0.28980446927374304,5.8565959307734525
7,0.9937281638198758,0.01888119530208625,0.4107891061452514,5.378741069878946
8,0.9930023285146017,0.021452573834305228,0.3434008379888268,5.993477176687571
9,0.9967488354037267,0.00995172303678458,0.4797486033519553,4.000582157899547
