epoch,acc,loss,val_acc,val_loss
0,0.0988527214514,2.87215712168,0.0649441340782,4.77835059665
1,0.151373253106,2.64977887918,0.049406424581,6.57919200439
2,0.178717003106,2.53348724181,0.0696578212291,4.39880939968
3,0.212452702047,2.40848356658,0.125,4.09363784504
4,0.278811626553,2.19206864124,0.140712290503,3.72391046425
5,0.362711083075,1.92657478136,0.0895600558659,3.32571648419
6,0.417774328127,1.75384848373,0.104574022346,3.66593597521
7,0.459942740683,1.61402526843,0.190991620112,3.01559739123
8,0.488269118789,1.52869833778,0.134951117318,3.28537759551
9,0.50904988354,1.45740804999,0.1595371669,4.21520397439
