epoch,acc,loss,val_acc,val_loss
0,0.893130881925,0.362071310877,0.509601955307,3.89662654107
1,0.989009122671,0.0332314614921,0.485160614525,5.19768526634
2,0.993449145963,0.0192376826152,0.449546089385,4.55959599011
3,0.994821480547,0.0156579935121,0.369762569832,6.1149321926
4,0.995256696429,0.0140708310774,0.490747206704,4.91851628401
5,0.995220302795,0.0154197694272,0.51030027933,3.52528446913
6,0.994772969826,0.0160169568024,0.464761570827,4.41077101933
7,0.994516692547,0.0175890721849,0.504382889201,3.98125815291
8,0.993910131988,0.0183375315684,0.475384078212,4.44722451286
9,0.995329483696,0.0142799527151,0.459322625698,4.80960303662
